✅ Fetched 25850 candles total
✅ Loaded 25850 candles

🚀 Running 480 backtests in parallel...
   • Greedy Momentum: 3 periods × 4 patience × 4 margins
   • Greedy EMA Cross: 3 EMA pairs × 4 patience × 4 margins
   • 96 strategy configurations × 5 loss tolerances = 480 total tests

🚀 Running 480 backtests in parallel...


✅ All tests complete!

  [1/480] GreedyMom(p=10, patience=144, margin=0.3%) @ 0.00% loss → APY_USD: 22.3%, Trades: 11, Rejected: 0B/0S
  [2/480] GreedyMom(p=10, patience=144, margin=0.3%) @ 0.10% loss → APY_USD: 22.3%, Trades: 11, Rejected: 0B/0S
  [3/480] GreedyMom(p=10, patience=144, margin=0.3%) @ 0.50% loss → APY_USD: 15.7%, Trades: 7, Rejected: 0B/0S
  [4/480] GreedyMom(p=10, patience=144, margin=0.3%) @ 1.00% loss → APY_USD: 11.1%, Trades: 9, Rejected: 0B/0S
  [5/480] GreedyMom(p=10, patience=144, margin=0.3%) @ 2.50% loss → APY_USD: 11.1%, Trades: 9, Rejected: 0B/0S
  [6/480] GreedyMom(p=10, patience=144, margin=0.5%) @ 0.00% loss → APY_USD: 25.8%, Trades: 11, Rejected: 0B/0S
  [7/480] GreedyMom(p=10, patience=144, margin=0.5%) @ 0.10% loss → APY_USD: 25.8%, Trades: 11, Rejected: 0B/0S
  [8/480] GreedyMom(p=10, patience=144, margin=0.5%) @ 0.50% loss → APY_USD: 25.8%, Trades: 11, Rejected: 0B/0S
  [9/480] GreedyMom(p=10, patience=144, margin=0.5%) @ 1.00% loss → APY_USD: 17.3%, Trades: 11, Rejected: 0B/0S
  [10/480] GreedyMom(p=10, patience=144, margin=0.5%) @ 2.50% loss → APY_USD: 17.3%, Trades: 11, Rejected: 0B/0S
  [11/480] GreedyMom(p=10, patience=144, margin=0.75%) @ 0.00% loss → APY_USD: 28.9%, Trades: 11, Rejected: 0B/0S
  [12/480] GreedyMom(p=10, patience=144, margin=0.75%) @ 0.10% loss → APY_USD: 28.9%, Trades: 11, Rejected: 0B/0S
  [13/480] GreedyMom(p=10, patience=144, margin=0.75%) @ 0.50% loss → APY_USD: 28.9%, Trades: 11, Rejected: 0B/0S
  [14/480] GreedyMom(p=10, patience=144, margin=0.75%) @ 1.00% loss → APY_USD: 1.3%, Trades: 5, Rejected: 0B/0S
  [15/480] GreedyMom(p=10, patience=144, margin=0.75%) @ 2.50% loss → APY_USD: 1.3%, Trades: 5, Rejected: 0B/0S
  [16/480] GreedyMom(p=10, patience=144, margin=1.0%) @ 0.00% loss → APY_USD: 34.8%, Trades: 11, Rejected: 0B/0S
  [17/480] GreedyMom(p=10, patience=144, margin=1.0%) @ 0.10% loss → APY_USD: 34.8%, Trades: 11, Rejected: 0B/0S
